,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1991,-0.74,-0.3,-0.81,-0.21,-0.06,-0.39,-0.48,-0.57,-0.95,-1.1,-0.17,-0.21
1992,-0.49,-0.46,-0.82,-1.43,-1.8,-1.35,-1.46,-1.23,-0.95,-0.97,-1.28,-1.87
1993,-2.82,-2.14,-1.74,-0.76,-1.09,-1.68,-1.68,-1.51,-2.05,-2.35,-3,-2
1994,-1.85,-1.98,-1.86,-1.45,-0.3,-0.61,-0.71,-0.86,-1.1,-1.11,-1.69,-1.02
1995,-0.5,-1.56,-2.05,-1.82,-1.5,-1.05,-1.5,-1.01,-0.89,-0.52,-0.28,-0.64
1996,-0.64,-1.05,-1.15,-0.44,-1.27,-1.06,-0.89,-0.75,-0.93,-1.04,-1.1,-1.35
1997,-1.64,-1.11,-0.62,-0.51,-0.88,-0.94,-0.77,-0.79,-0.48,-0.59,-0.17,-0.26
1998,-0.53,1.9,0.89,0.52,0.28,0.12,0.39,0.27,0.04,0.1,0.72,0.77
1999,1.08,2.3,1.97,1.65,1.6,1.91,1.38,1.43,1.3,1.18,1.32,1.05
2000,1.4,2.12,2.15,2.37,2.22,2.1,1.66,1.35,1.38,1.7,2.01,2.16
2001,2.86,2.96,2.39,2.2,1.95,2.35,1.5,1.92,1.89,1.16,1.76,2.02
2002,1.86,2.18,1.9,0.9,1.1,1.61,1.38,0.81,0.82,0.82,1.66,2.64
2003,1.97,0.99,1.49,1.1,0.92,0.78,1.2,0.78,0.87,1.29,-0.11,0.22
2004,0.27,0.67,0.38,0.13,0.21,0.78,0.42,0.69,0.38,0.04,-0.44,-0.99
2005,-1.67,-1.49,-1.49,-1.69,-0.79,-1.28,-1.67,-1.13,-1.57,-0.89,-1.67,-1.26
2006,-0.65,-1.07,-0.71,-0.57,-0.12,-0.13,-0.5,-0.37,-0.34,-1.05,-1,-0.16
2007,-0.243309002,-0.729927007,-0.182149362,0.384615385,0.144927536,1.23,1.23,1.43,0.110011001,1.27,0.137362637,0.218340611
2008,0.179856115,1.14,1.37,1.4,1.74,1.28,1.43,2.14,2.23,1.77,1.97,0.227272727
2009,0.138312586,0.110011001,0.302114804,0.240384615,0.18018018,0.27027027,0.178571429,0.139275766,0.102669405,1.15,1.05,1.06
2010,2.06,1.84,1.65,1.18,1.87,1.24,1.15,1.08,1,1.61,0.101214575,0.128369705
2011,0.310559006,0.181818182,1.2,0.167785235,1.39,1.11,1.04,1.04,1.33,1.2,0.267379679,0.757575758
2012,0.119904077,0.115874855,1.12,1.93,1.63,1.94,1.86,1.73,1.36,1.87,1.4,1.2
2013,1.23,1.2,0.155520995,0.210084034,0.117370892,0.137551582,0.22172949,0.1953125,0.256410256,-0.680272109,-0.124223602,-1.45
2014,-0.256410256,-0.374531835,-0.220264317,-0.161812298,0.440528634,-0.239808153,-0.746268657,-0.183486239,-0.128700129,0.235849057,0.320512821,-0.280898876
2015,-0.181488203,-1.27,-1.4,-1.38,-0.138888889,-1.25,-1.47,-1.93,-2.1,-1.31,-2.25,-1.11
2016,0.106723586,0.436681223,0.211864407,-0.25,-0.146627566,-0.104384134,-0.205338809,-0.183823529,-0.129198966,0.284090909,1.16,-1.54
2017,1.622641509,-0.149700599,-0.112107623,-0.884955752,-0.219298246,-0.341296928,-0.225225225,-0.188323917,-0.190114068,-1.41,-2.06,-2.69
2018,-1.5,-2.23,-2.03,-2.06,-1.92,-1.94,-1.57,-2.12,-2.32,-2.34,-1.77,-1.02
2019,-0.116292592,-2.56,-1.99,-2.16,-1.86,-2.35,-2.16,-2.06,-2.52,-2.58,-3.37,-2.54
2020,-1.52,-2.32,-1.83,-1.88,-1.36,-1.89,-2.04,-1.36,1.25,-1.83,-2.59,-1.33
2021,-0.58,-1.2,-0.86,-1.89,-0.86,-0.55,-0.69,-0.96,-0.67,-0.06,-0.3,-1.99
2022,-1.41,-2.09,-1.1,-0.64,-0.41,-0.67,-0.48,-0.48,-1.12,-1.89,-2.12,-2.56
2023,-1.69,-2.24,-2.78,-1.95,-1.29,-1.32,-1.41,-1.39,-1.76,-1.09,-1.85,-1.91
2024,-1.63,-1.63,-1.95,-2.51,-2.25,-1.63,-1.71,-2.03,-2.1,-2.1,-2.12,-1.58
2025,2.57,-2.56,-1.45,-1.57,-9.11,-1.5,-9.14,-1.1,-1.61,-2,-1.73,-2.94
